data;store_id;sku;qty
03/08/2019;9999999;803691020001;32;
03/08/2019;9999999;803691050008;1;
03/08/2019;9999999;803691250002;1;
03/08/2019;9999999;803691EZ0000;4;
03/08/2019;9999999;806945022035;1;
03/08/2019;9999999;806945022059;1;
03/08/2019;9999999;806952022042;1;
03/08/2019;9999999;806952022059;1;
03/08/2019;9999999;806952022066;1;
03/08/2019;9999999;806952WQ2028;1;
03/08/2019;9999999;806952WQ2035;1;
03/08/2019;9999999;806952WQ2042;1;
03/08/2019;9999999;807948012139;22;
03/08/2019;9999999;807948012146;3;
03/08/2019;9999999;808276250008;7;
03/08/2019;9999999;808426022022;1;
03/08/2019;9999999;808426052043;1;
03/08/2019;9999999;808578010007;5;
03/08/2019;9999999;808578020006;8;
03/08/2019;9999999;808578510002;12;
03/08/2019;9999999;808580010002;15;
03/08/2019;9999999;808580510003;3;
03/08/2019;9999999;808946022021;1;
03/08/2019;9999999;808946052028;2;
03/08/2019;9999999;808946052035;1;
03/08/2019;9999999;808946052059;1;
03/08/2019;9999999;811129020000;13;
03/08/2019;9999999;811129050001;26;
03/08/2019;9999999;811129100003;12;
03/08/2019;9999999;811129160007;17;
03/08/2019;9999999;811463514986;1;
03/08/2019;9999999;811463515310;2;
03/08/2019;9999999;811463515327;1;
03/08/2019;9999999;8118502V0001;2;
03/08/2019;9999999;812689CM2020;2;
03/08/2019;9999999;812689CM2037;6;
03/08/2019;9999999;812689CM2044;6;
03/08/2019;9999999;812689CM2051;3;
03/08/2019;9999999;812689LE2021;3;
03/08/2019;9999999;812689LE2038;6;
03/08/2019;9999999;812689LE2045;6;
03/08/2019;9999999;812689LE2052;3;
03/08/2019;9999999;812689U72033;1;
03/08/2019;9999999;812709020001;9;
03/08/2019;9999999;813909020006;19;
03/08/2019;9999999;813909290003;17;
03/08/2019;9999999;813932020004;8;
03/08/2019;9999999;813932N40004;12;
03/08/2019;9999999;813933020003;2;
03/08/2019;9999999;813933040001;1;
